PMID,Title,Abstract
41483059,"Cuproptosis-Related genes as potential core targets for the Diagnosis, Therapy, and prognosis of glioblastoma.","To identify cuproptosis-related genes as potential diagnostic, therapeutic, and prognostic biomarkers for glioblastoma (GBM). The GBM GSE16011 dataset was downloaded from the GEO database, and the dataset was subjected to differential gene analysis via Perseus software. Cuproptosis-related genes were obtained from the PubMed database. Venn analysis was used to obtain the cuproptosis-related DEGs (CuDEGs) between the DEGs and the cuproptosis-related genes. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses were conducted to explore the functions of the CuDEGs, and cluster analysis was performed to assess the similarity of the CuDEGs between the GBM group and the control group. Potential targets were screened through protein-protein interaction (PPI) analysis and the fold change values of differential expression. The expression of potential targets in GBM tissues was validated via the GEPIA database, and survival analysis was used to determine the prognostic value of potential targets. Potential targets and core targets were further verified through analysis of the GSE16011 dataset, Human Protein Atlas (HPA) database, and experimental validation in U87-MG and U251 GBM cells using immunofluorescence and western blot. A total of 39 CuDEGs were obtained from the intersection of 9,849 DEGs and 88 cuproptosis-related genes. GO and KEGG enrichment analyses revealed that the CuDEGs were closely associated with the occurrence and development of GBM. Among the 39 CuDEGs, 11 potential targets with a fold change greater than 1.2 were selected. The expression of 11 potential targets was subsequently validated. Compared with that in the control group, the expression of the 6 upregulated CuDEGs significantly increased in the GBM group. Among the 6 upregulated CuDEGs, VEGFA, LOX, and LOXL1 were significantly different in overall survival (P < 0.05), with high expression correlated with lower survival rates and shorter survival times. However, no significant differences in overall survival were observed for the 5 downregulated CuDEGs. Three upregulated VEGFA, LOX and LOXL1 were selected as potential core targets for GBM. Significant differences in overall survival were shown for these three potential core targets combined, with high expression still associated with lower survival rates and shorter survival times. The expression levels of the three potential core targets were positively correlated with glioma grade, and significant differences were detected in grade IV gliomas compared with other grades in the GEPIA database. Experimental validation confirmed significantly elevated expression of these three genes in GBM cells compared to normal controls. The cuproptosis-related genes VEGFA, LOX, and LOXL1 are highly expressed in GBM and closely associated with tumor progression and poor prognosis, suggesting their potential as core biomarkers for GBM diagnosis, therapy, and prognosis evaluation."
41482114,Revolutionizing Early Detection of TNBC: The Rise of Non-Invasive Biomarkers and Next-Gen Diagnostic Strategies.,"Triple negative breast cancer (TNBC) is the most malignant subtype of breast cancer (BC), which accounts for 10-20% of BC incidences, and its early diagnosis is pivotal to curing the disease. Tissue biopsies, surgical biopsies, and needle biopsies, currently the preferred methods for acquiring tumor molecular characterization, are invasive and ineffective in capturing the core driving factors of tumor heterogeneity, rendering them incapable of portraying the complete molecular landscape. Non-invasive approaches permit tumor heterogeneity to be studied more comprehensively by sampling biofluids, including blood, urine, and saliva, and extracting tumor components such as circulating tumor DNA (ctDNA), circulating tumor cells (CTCs), circulating proteins, extracellular vesicles (EVs), and microRNAs (miRNAs). We reviewed emerging non-invasive biomarkers; non-invasive molecular imaging modalities coupled with omics and artificial intelligence (AI) for stratification and early TNBC detection. The new diagnostic biomarkers can revolutionize early diagnosis and help clinicians to strategize treatment choices for a better prognosis in TNBC."
41480495,"A spatial-spectral vision transformer model for head and neck cancer detection with hyperspectral, RGB, and synthesized RGB histologic images.","The potential benefit of employing hyperspectral imaging (HSI) over the normal color images,  RGB, has been explored to improve cancer detection. In this study, we evaluate the efficacy of deep learning models in detecting head and neck squamous cell carcinoma (SCC) in histological images using HSI. We used 77 whole histologic slides from 51 patients to train DinoV2 vision transformer model and a ResNet-152 model on RGB, HSI, and HSI-synthesized RGB images, respectively. A spatial-spectral vision transformer (SST) model with spectral attention was also introduced for comparison and evaluation. Our study resulted in three major findings. First, we found that the SST model trained on HSI performed the best over other models with 79% accuracy, 74.37% specificity, and 78.92% sensitivity. Second, models trained using RGB data suffered from severe imbalance between sensitivity and specificity. Finally, the DinoV2 model trained on HSI was found to have significantly higher (10%) sensitivity compared to its RGB alternative. The proposed method of using the spatial-spectral vision transformer model shows the advantage of hyperspectral image in terms of sensitivity, accuracy, and computation for detecting squamous cell carcinoma in histologic slides."
41480359,Development and validation of an explainable machine learning and nomogram model for early detection and risk stratification of polycystic ovary syndrome: a multicenter study.,"BACKGROUND: Polycystic ovary syndrome (PCOS) is a common endocrine-metabolic condition in reproductive-aged women, linked to infertility and long-term cardiometabolic risk. Early identification remains challenging because current diagnosis relies on hormone testing and imaging. This research sought to develop and evaluate an interpretable machine learning (ML) model and a simplified nomogram for the early detection of PCOS. METHODS: Data from 1,600 women at the First People's Hospital of Jiashan were used for model training, with 283 external cases from Jiaxing Hospital of Traditional Chinese Medicine for validation. Twenty-three routine laboratory indicators were analyzed. After LASSO feature selection, seven ML algorithms were compared. The best-performing XGBoost model was interpreted using Shapley Additive exPlanations (SHAP). A logistic regression-based nomogram was developed from the key predictors. RESULTS: The XGBoost model showed excellent discrimination (AUC = 0.919 internal; 0.923 external). SHAP identified DHEAS, AMH, TG, and age as key contributors. The nomogram also performed well (AUC = 0.901 train; 0.887 test). CONCLUSIONS: This interpretable ""XGBoost + SHAP"" and nomogram framework provides an accurate, transparent, and practical tool for early PCOS screening and individualized management."
41480324,Artificial intelligence-assisted diagnosis of rectal neuroendocrine tumors during white-light endoscopy.,"BACKGROUND: Due to their significantly lower incidence than colorectal polyps and macroscopic features resembling those of hyperplastic polyps, rectal neuroendocrine tumors (rNETs) are frequently misdiagnosed and resected as polyps. To date, no reports have been written on the application of artificial intelligence for assisting in the white-light endoscopy of rNETs. AIM: To establish a neuroendocrine tumor lesion detection algorithm based on the YOLOv7 model and evaluate the performance of the algorithm in identifying neuroendocrine tumors. METHODS: In total, 137748 white-light endoscopic images were collected in this study, including 2232 images of rNET, 4429 images of submucosal lesions other than rNET, 42563 images of polyps, and 88593 images of normal mucosa. All the images were randomly divided into a training set, a validation set, and a test set. To evaluate the ability of the algorithm to diagnose rNETs, we selected 1578 images to form the test set. The performance of the algorithm was compared with that of endoscopists at different levels. RESULTS: The accuracy of the algorithm in identifying rNET from all the images was 97.8%, the sensitivity was 72.6%, the specificity was 99.7%, the positive predictive value was 93.9%, and the negative predictive value was 98.1%. CONCLUSION: Our model, which was based on YOLOv7, could effectively detect rNET lesions, which was better than that of most endoscopists."
41480227,Machine learning survival prediction in esophageal cancer using radiomics and body composition from pretreatment and follow-up T12-level computed tomography.,"BACKGROUND: Esophageal cancer carries a poor prognosis with low 5-year survival rates and limited early detection options. The skeletal muscle index at the L3 vertebral level is a well-established prognostic marker in esophageal cancer, but most follow-up computed tomography (CT) scans do not extend to L3 and limiting its utility. Radiomics has emerged as a powerful tool for extracting prognostic information from medical images. AIM: To evaluate the influential features for esophageal cancer prognosis by integrating radiomic and body composition-based indices of skeletal muscle and adipose tissue at the T12 level from both pretreatment and follow-up CT images, in order to assess their value in predicting overall survival (OS). METHODS: This retrospective study included 212 esophageal cancer patients who underwent concurrent chemoradiotherapy, with both pretreatment and follow-up chest CT scans available. Body organ analysis (BOA) and radiomic features were extracted from skeletal muscle and adipose tissue at the T12 level using automated tools. Four feature subsets (no-radiomics, pretreatment only, follow-up only, and combined inputs) were developed using logistic regression (LR) with least absolute shrinkage and selection operator for feature selection, followed by Cox regression. Prognostic models - including nomogram, support vector classifier, LR, and extra trees classifier - were constructed to predict 1-, 2-, and 3-year OS. RESULTS: The model integrating both BOA and radiomics from pretreatment and follow-up CT, combined with clinical data, achieved the best performance for 2-year OS prediction, with an area under the time-dependent receiver operating characteristic curve of 0.91, sensitivity of 0.81, and specificity of 0.88 using the LR model. The most predictive features included both clinical variables, body composition indices, and radiomic features, particularly from follow-up VAT. Follow-up imaging contributed significantly to model performance, reinforcing its value in treatment response evaluation. CONCLUSION: This is the first study to demonstrate that BOA indices and their corresponding radiomics at the T12-level from both pretreatment and follow-up CT scans - combined with clinical data - can provide accurate prognostic information for esophageal cancer. This approach offers a practical alternative when L3-level imaging is unavailable and supports the clinical integration of automated T12-based imaging biomarkers. The integration of these imaging features with clinical parameters enhances the prediction of survival outcomes and contributes to non-invasive, personalized treatment planning."
41479941,Advances in endoscopic dysplasia detection in inflammatory bowel disease.,"BACKGROUND: Dysplasia surveillance in inflammatory bowel disease (IBD) has evolved significantly with the adoption of advanced endoscopic technologies. AIM: To synthesize evidence on image-enhanced endoscopy techniques, biopsy protocols, and surveillance practices optimizing dysplasia detection in IBD. METHODS: A scoping review was conducted following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A comprehensive search of PubMed and EMBASE from inception to June 2025 identified studies reporting on endoscopic dysplasia detection or characterization in IBD. Forty-five studies were included for qualitative synthesis, covering dye-based chromoendoscopy (DCE), virtual chromoendoscopy (VCE), confocal laser endomicroscopy, artificial intelligence-based tools, and panoramic endoscopy. RESULTS: DCE consistently demonstrated high dysplasia detection rates, especially when indigo carmine was used, and enabled accurate pit-pattern-based lesion characterization. High definition (HD) DCE may offer procedural benefits over HD white light endoscopy (WLE), though superiority in dysplasia detection remains inconsistent across studies. In comparative studies, DCE outperformed or matched white-light approaches, with higher dysplasia yield in selected trials (, 9.7%  1.9%,  = 0.004), while HD WLE with segmental re-inspection was non-inferior to DCE in expert settings. Virtual chromoendoscopy modalities such as i-SCAN and narrow band imaging showed comparable performance to DCE in several trials, with artificial intelligence-assisted computer-aided detection systems demonstrating equivalent sensitivity but lower specificity. Studies comparing biopsy protocols revealed that targeted biopsies under image-enhanced endoscopy, particularly DCE, were generally superior or equivalent to random biopsies, with random sampling offering marginal benefit in select high-risk subgroups. Multimodal imaging and panoramic endoscopy further improved dysplasia yield in challenging cases. Cost-effectiveness analyses favored DCE over WLE, and long-term surveillance data confirmed declining colorectal cancer rates with high-quality endoscopic programs. However, real-world practice audits revealed substantial variation in surveillance quality and guideline adherence. CONCLUSION: Image-enhanced targeted surveillance - particularly using DCE or validated virtual platforms - has improved dysplasia detection in IBD and may allow for a reduction in random biopsies. Despite technological advancements, major quality gaps and interobserver variability persist in clinical practice. Standardized training, quality benchmarks, and cost-effective implementation of advanced endoscopic techniques are needed to optimize colorectal cancer prevention in IBD."
41479800,Artificial intelligence-assisted noninvasive preoperative prediction of lymph nodes metastasis in cervical cancer through a clinical-imaging feature combined strategy.,"BACKGROUND: Lymph node metastasis (LNM) of patients with cervical cancer (CC) is correlated with noticeably reduced five-year survival rate. but the role of conventional detection is limited for preoperative diagnosis of LNM. Therefore, we intended to develop a predictive model for LNM by integrating medical images, clinical data along with artificial intelligence-assisted method. METHODS: CC patients who underwent radical hysterectomy combined with pelvic lymphadenectomy between January 2013 and October 2024 were retrospectively enrolled in this study. For computed tomography (CT) and ultrasound (US) images, a pre-trained ResNet-18 model on large-scale samples was used to extract representative features, fine-tuned with random cropping data augmentation. For clinical indicators, after normalizing to the range [0,1], a multilayer perceptron block was applied to extract representative features. Then, contrastive learning and feature fusion methods were utilized to integrate similar messages. Finally, a multi-modal contrastive learning framework was developed by consolidating above two parts. The framework was estimated by accuracy, sensitivity, specificity and the area under the receiver operating characteristic curve (AUC). RESULTS: This work consisted of 127 CT images of patients with pathologically diagnosed cervical malignancies. After integrating clinical-imaging feature and artificial intelligence-assisted algorithm, the finally developed LNM predicting model achieved a high accuracy of 92.31% with an AUC of 0.88. Additionally, the model also displayed strong sensitivity (80.0%) and specificity (95.45%) in CC cohorts. CONCLUSION: This study presented an efficient noninvasive and highly accurate diagnostic tool for LNM, which may significantly enhance surgical decision-making for lymph node dissection in CC patients with LNM."
41479795,Explainable artificial intelligence in pancreatic cancer prediction: from transparency to clinical decision-making.,"BACKGROUND/OBJECTIVES: Pancreatic cancer (PC) remains among the most lethal malignancies worldwide, with a persistently low 5-year survival rate despite advances in systemic therapies and surgical innovation. Machine learning (ML) has emerged as a transformative tool for early detection, prognostic modelling, and treatment planning in PC, yet widespread clinical use is constrained by the ""black box"" nature of many models. Explainable artificial intelligence (XAI) offers a pathway to reconcile model accuracy with clinical trust, enabling transparent, reproducible, and clinically meaningful predictions. METHODS: We reviewed literature from 2020-2025, focusing on ML-based studies in PC that incorporated or discussed XAI techniques. Methods were grouped by model architecture, data modality, and interpretability framework. We synthesized findings to evaluate the technical underpinnings, interpretability outcomes, and clinical relevance of XAI applications. RESULTS: Across 21 studies on ML in PC, only three studies explicitly integrated XAI, primarily using SHAP and SurvSHAP. These methods helped identify key biomarkers, comorbidities, and survival predictors, while enhancing clinician trust. XAI approaches were categorized by staging (ante-hoc vs. ), compatibility (model-agnostic . model-specific), and scope (local . global explanations). Barriers to adoption included methodological instability, limited external validation, weak workflow integration, and lack of standardized evaluation. CONCLUSIONS: XAI has the potential to serve as a cornerstone for advancing transparent, trustworthy ML in PC prediction. By clarifying model reasoning, XAI enhances clinical interpretability and regulatory readiness. This review provides a technical and clinical synthesis of current XAI practices, positioning explainability as essential for translating ML innovations into actionable oncology tools."
41479762,Foundation models: Insights and implications for gastrointestinal cancer.,"Gastrointestinal (GI) cancers represent a major global health concern due to their high incidence and mortality rates. Foundation models (FMs), also referred to as large models, represent a novel class of artificial intelligence technologies that have demonstrated considerable potential in addressing these challenges. These models encompass large language models (LLMs), vision FMs (VFMs), and multimodal LLMs (MLLMs), all of which utilize transformer architectures and self-supervised pre-training on extensive unlabeled datasets to achieve robust cross-domain generalization. This review delineates the principal applications of these models: LLMs facilitate the structuring of clinical narratives, extraction of insights from medical records, and enhancement of physician-patient communication; VFMs are employed in the analysis of endoscopic, radiological, and pathological images for lesion detection and staging; MLLMs integrate heterogeneous data modalities, including imaging, textual information, and genomic data, to support diagnostic processes, treatment prediction, and prognostic evaluation. Despite these promising developments, several challenges remain, such as the need for data standardization, limited diversity within training datasets, substantial computational resource requirements, and ethical-legal concerns. In conclusion, FMs exhibit significant potential to advance research and clinical management of GI cancers. Future research efforts should prioritize the refinement of these models, promote international collaborations, and adopt interdisciplinary approaches. Such a comprehensive strategy is essential to fully harness the capabilities of FMs, driving substantial progress in the fight against GI malignancies."
41479761,Insertion time as a proxy for procedural complexity: Refining its role in predictive models of adenoma detection.,"Existing literature indicates that prolonged insertion time is associated with procedural complexity and may influence adenoma detection. Xu  recently reported that longer insertion time correlates with lower adenoma detection, but this effect can be mitigated by sufficient withdrawal duration. Insertion time should not be regarded merely as a numeric variable but rather as a multidimensional marker of technical difficulty. Integrating the insertion-to-withdrawal ratio with composite indicators such as looping or bowel preparation quality may enhance predictive models of colonoscopy performance. Conceptualizing insertion time in this way provides a more nuanced understanding of its role in adenoma detection and highlights the need for improved frameworks that link procedural complexity with quality outcomes."
