PMID,Title,Abstract
41483414,A dual-mode sensor based on an intramolecular catalytic hairpin assembly strategy for detecting survivin mRNA.,"A dual-mode sensor based on intramolecular catalytic hairpin assembly strategy (intra-CHA) is proposed for Survivin mRNA detection. Intra-CHA, a triplex complex of tetraferrocene-labeled H1/H2, shortens H1-H2 distance and increases their local concentrations, accelerating reaction by 2.8-fold vs. free-CHA. Ruthenium-based covalent organic frameworks (RuCOFs) with Ru(dcbpy) as luminophore has dual fluorescence-electrochemiluminescence (FL-ECL) properties. EDTA-incorporated RuCOFs@EDTA expands active sites, enhancing ECL efficiency 8-fold. Intra-CHA system is covalently conjugated to RuCOFs@EDTA through amide bond linkages. Target mRNA-triggered strand displacement reactions induce structural reconfiguration of the intra-CHA probes, resulting in controlled spatial segregation of tetraferrocene from the RuCOFs@EDTA interface. This results in the recovery of FL and ECL signals, enabling rapid and highly sensitive detection of Survivin mRNA. Experimental results show that the detection limits reach 0.04 fM (in the FL mode) and 0.009 fM (in the ECL mode) respectively, with excellent selectivity, stability, and reproducibility. The system has been successfully applied to detect Survivin mRNA in actual serum samples, providing a novel strategy for Survivin mRNA detection and paving the way for developing future diagnostic strategies for early cancer screening."
41483404,Exploring the use of preoperative MRI for assessing the anatomical location of positive surgical margin at robot-assisted radical prostatectomy (RARP).,"PURPOSE: Robot-assisted radical prostatectomy (RARP) is an effective treatment for localized prostate cancer (PCa), but positive surgical margins (PSMs) occur in up to 22% cases. This study quantifies the relationship between the tumor location on preoperative MRI and PSM location on final pathology examination. MATERIAL AND METHODS: We retrospectively reviewed PCa patients who underwent both prostate MRI and RARP between January 1, 2022 and December 31, 2022. The RARP specimens were divided into 14 regions, and concordance between MRI-detected lesions (PIRADS > 2) and PSM locations was assessed. RESULTS: Data from 464 patients revealed PSMS in 130 (28%) patients, totaling 187 PSMs. Concordance between tumor and PSM location was found in 152 PSMs (81%). Of these, 38% corresponded with a T3 lesion on MRI, and 72% showed pathological T3 at the PSM location. Most PSMs (46%) were at the apex. The median size was 6.0 mm (IQR 1.9-10.3). In contrast, 19% of PSMs were in regions without MRI-detected lesions, mainly located at the apex (43%) and bladder neck (29%). In this group, 34% had no positive biopsy on the corresponding side. PSMs in this group showed pathological T3 in 66% of cases. The median size was 3 mm (IQR 2.5-7.0 mm), and 46% had a pathological ISUP Gleason score ≥ 2. CONCLUSION: This study highlights the role of preoperative MRI assessment in predicting PSM locations during RARP. In 81% of cases, PSMs corresponded to MRI-detected lesions (PI-RADS > 2), suggesting that MRI can help by guiding surgical planning and potentially reduce PSM rates."
41483371,Clinical utility of longitudinal circulating tumor DNA analysis in metastatic colorectal cancer patients receiving palliative chemotherapy.,"BACKGROUND: This study aims to evaluate the use of circulating tumor DNA (ctDNA) for identifying mutation profiles and monitoring dynamic changes in patients with metastatic colorectal cancer (mCRC) undergoing palliative chemotherapy. METHODS: This prospective observational study enrolled patients with mCRC treated at Asan Medical Center, Korea, between July 2018 and April 2020. ctDNA analysis was performed on plasma samples collected at baseline, first progression (PD), and second PD. Baseline ctDNA profiles were compared with matched tumor NGS data, and longitudinal changes in ctDNA were tracked over time. Clinical outcomes were correlated with ctDNA concentration and variant allele frequency (VAF). RESULTS: A total of 33 patients were included. ctDNA was detected in 93.9% of patients at baseline. The most frequent mutations were in APC and TP53 (81.8%), followed by KRAS (39.4%) and PIK3CA (30.3%). The median baseline ctDNA VAF was 17.7%, with significantly higher levels observed in patients with liver metastases. The overall concordance rate between plasma and tissue samples was 86.9%, with high accuracy in determining RAS/RAF mutation status. During treatment, acquired mutations emerged; notably, anti-EGFR therapy was associated with new RAS mutations (predominantly Q61 variants), while anti-VEGF therapy induced a broader range of genetic alterations. Elevated baseline ctDNA levels and higher maximum VAF at first PD were significantly correlated with shorter overall survival. CONCLUSIONS: ctDNA analysis offers a non-invasive approach for comprehensive genomic profiling in mCRC. Its ability to monitor genetic alterations and predict clinical outcomes underscores its potential utility in guiding personalized treatment strategies and monitoring resistance in clinical practice."
41483270,Feed-driven transfer and bioaccumulation of phthalate esters in aquaculture pond ecosystems.,"This study investigates the trophic transfer and bioaccumulation of phthalate esters (PAEs) in aquaculture ponds within China's Pearl River Delta. Two representative food chains (omnivorous and carnivorous) were analyzed using stable nitrogen isotope analysis and lipid-normalized contaminant concentrations. Human health risks associated with dietary PAE exposure were evaluated following USEPA risk assessment guidelines. Concentrations of ∑PAEs varied considerably among fish species. The highest level was detected in bighead carp (2.84 mg/kg ww), while the lowest was found in largemouth bass (0.19 mg/kg ww). The six priority PAEs constituted 77.23 to 90.59% of the total ∑PAEs, with di-2-ethylhexyl phthalate (DEHP) alone accounting for over 50% in fish tissues. Long-chain PAEs exhibited significant biomagnification in the omnivorous food chain, with a trophic magnification factor (TMF) of 2.45 for DEHP. In contrast, metabolic degradation was the dominant process in the carnivorous chain. The human health risk assessment indicated low overall carcinogenic and non-carcinogenic risks, with hazard quotients well below 1 and carcinogenic risks ranging from 10⁻ to 10⁻ for the majority of fish species. Nonetheless, certain species such as bighead carp showed a marginally higher cancer risk (6.60 × 10⁻ ± 3.61 × 10⁻). The findings provide new insights into the behavior of PAEs in aquaculture ecosystems and support the development of monitoring and management strategies for environmental pollutants."
41483187,Polyethylene terephthalate and polypropylene microplastic bioaccumulation in human blood and cancerous tissues in Algerian cases.,"Due to poor waste management and excessive plastic consumption, Algeria faces an escalating concern over plastic pollution, particularly microplastics (MPs). This pioneering study provides the first baseline assessment of MPs in human biological samples from Jijel Province, Algeria. MPs were detected and characterized in blood samples and cancer tissues (breast, colon, and rectal) using organic digestion, density separation, and filtration. More than 220 MPs (100-200 µm) were identified in cancer tissues, averaging 25 particles/gram. Blood samples contained 172 MPs (50-300 µm), averaging 3 particles/gram. Agglomerated microspheres and fibers predominated in both matrices. Fourier-transform infrared spectroscopy (FTIR) confirmed polyethylene terephthalate (PET) and polypropylene (PP) as major polymers in approximately 44% of samples analyzed. Microparticles were observed in DNA extraction solutions; however, their relationship to genomic material remains unconfirmed and requires advanced co-localization techniques. These findings underscore the urgent need for comprehensive investigations into human exposure to MPs and their potential long-term health implications in North Africa."
41483176,Histopathological assessment to detect colorectal ovarian micrometastasis following prophylactic salpingo-oophorectomy in postmenopausal patients.,"INTRODUCTION: Colorectal cancer (CRC) is one of the most prevalent malignancies and often leads to metastatic disease. Ovarian metastasis occurs in approximately 4% of all female CRC patients. Metastatic disease recurrence after intentional curative resection of primary colorectal tumour could be explained by the presence of micrometastases. The present study aims to investigate the prevalence of CRC (micro)metastases in tubo-ovarian tissue following prophylactic salpingo-oophorectomy (PSO) in postmenopausal patients. MATERIAL AND METHODS: Analyses of both adnexa of postmenopausal CRC patients who underwent primary tumour resection and concurrent PSO were conducted retrospectively. Tissue blocks with formalin fixed paraffin embedded ovarian tissue were sectioned at five levels, and both routine histopathological and additional immunohistochemical staining for CK20 and CDx2 were performed. The primary outcome measure was the incidence of CRC micrometastases (%). RESULTS: Ovaries of 100 consecutive CRC patients who underwent surgery at two Dutch teaching hospitals were analysed (age 72.7 ± 7.6 years, pT0-2 (43%), and pN0 (65%)). Overall, ovarian malignancies were found in 4% of patients. Immunohistochemical analysis revealed no additional CRC (micro)metastases. DISCUSSION: Additional immunohistochemical assessment did not reveal CRC ovarian (micro)metastases in an unselected patient cohort. The absence of micrometastases could be attributed to patient selection criteria and/or sampling error. Future research should focus on identifying a subgroup at high risk of developing ovarian metastasis and on the improvement of diagnostic and therapeutic strategies."
41483144,Clinical outcomes and recurrence patterns in pancreatic ductal adenocarcinoma diagnosed at an early stage: insights from a multicenter cohort study in Japan.,"BACKGROUND: The prognosis and recurrence patterns of early-diagnosed pancreatic ductal adenocarcinoma (PDAC), particularly following surgical resection, remain unclear. METHODS: This multicenter retrospective study analyzed patients who underwent surgical resection for PDAC between 2005 and 2023. Patients were categorized according to pathological stages 0, I, and II. Recurrence patterns and survival outcomes were compared among the three groups. Multivariate analysis was performed to identify independent risk factors for remnant pancreatic recurrence, including early-stage disease, postoperative follow-up of more than 5 years, and receipt of adjuvant chemotherapy. RESULTS: A total of 349 patients were included: 51 with stage 0, 77 with stage I, and 221 with stage II PDAC. The 5-year overall survival rates were 87%, 71%, and 49% for patients with stage 0, I, and II PDAC, respectively. Remnant pancreatic recurrence was observed in 10% of patients with stage 0 PDAC and 18% of patients with stage I PDAC, compared with 5% of those with stage II PDAC. Recurrence was significantly more frequent in stage I (P < 0.001) and tended to be higher in stage 0 (P = 0.062) than in stage II. Multivariate analysis identified pathological stage 0-I and postoperative follow-up of > 5 years as independent risk factors for remnant pancreatic recurrence. CONCLUSIONS: Patients with early-stage PDAC exhibit a higher risk of remnant pancreatic recurrence than those with stage II disease. These findings underscore the importance of long-term pancreas-focused surveillance in early-stage PDAC to enable timely detection of late recurrence and potentially improve patients outcomes."
41483137,Transgluteal MRI in-bore prostate biopsy in routine clinical practice: a contemporary-cohort-study from a german tertiary center.,"OBJECTIVES: To assess the diagnostic performance, predictors, and clinical utility of MRI-guided prostate biopsy over an 18 year period in a real-world tertiary care setting. MATERIALS AND METHODS: We retrospectively analyzed patients who underwent MRI-guided prostate biopsy between 2006 and 2024 at a German tertiary care center. Clinical data, PI-RADS, PSA levels, prostate volume, and biopsy outcomes were evaluated. Logistic regression models assessed associations between clinical variables and cancer detection, clinical significance (ISUP ≥ 3), and upgrading after radical prostatectomy (RPE). RESULTS: Among 496 patients (mean age 66 ± 8 years; PSA, median (IQR): 7.2 ng/ml (5-10)), cancer was detected in 33% (162/496), with 29% (47/162) classified as clinically significant. In our biopsy cohort (PI-RADS 3: 12.7%, PI-RADS 4: 43.0%, PI-RADS 5: 5.6%), clinically significant prostate cancer (ISUP ≥ 3) was detected in 3.2% of PI-RADS 3, 12.2% of PI-RADS 4, and 28.6% of PI-RADS 5 lesions. PI-RADS 5 lesions were strongly associated with cancer detection (OR 3.6, 95% CI 1.35-10.13) and significant disease (OR 7.1, 95% CI 1.38-55.15), independent of age, prostate volume, and biopsy extent. While these covariates predicted overall biopsy positivity (p < 0.02), they were not associated with significant cancer (p > 0.05) or upgrading at RPE (p > 0.05). Among 29 RPE patients, only one was upgraded. Post-biopsy CT was performed in all patients: MRI-guided biopsy was associated with a low complication rate: minor localized bleeding occurred in 4.4% of cases, and no major adverse events were observed. CONCLUSIONS: MRI-guided prostate biopsy showed high diagnostic accuracy and safety in routine care. PI-RADS was the key predictor of clinically significant cancer. The low rate of upgrading after RPE supports its reliability in guiding patient management and avoiding overtreatment. CLINICAL RELEVANCE STATEMENT: MRI-guided prostate biopsy enables accurate detection of clinically significant prostate cancer with low risk of understaging, supporting its routine use in personalized urologic oncology."
41483134,Bladder tumors in patients initially diagnosed with interstitial cystitis: a ten-year retrospective study.,"BACKGROUND: Interstitial cystitis/bladder pain syndrome (IC/BPS) is a chronic inflammatory condition characterized by bladder pain and lower urinary tract symptoms. As a diagnosis of exclusion, IC/BPS shares overlapping features with bladder tumors, which may lead to misdiagnosis or delayed diagnosis. Clinical evidence regarding the relationship between IC/BPS and bladder tumors remains limited. METHODS: In this single-center retrospective study, 863 patients initially diagnosed with IC/BPS who underwent cystoscopic hydrodistension with random multi-site bladder biopsies between January 2015 and June 2025 were reviewed. Twenty-five patients who were subsequently diagnosed with bladder cancer or nephrogenic adenoma based on initial or repeated biopsies were included. Clinical, imaging, cystoscopic, pathological, treatment, and follow-up data were analyzed. RESULTS: The cohort included 15 males and 10 females, with a median age of 56 years. The most common initial symptoms were urinary frequency, urgency, and dysuria. Hematuria developed in eight patients during disease progression. Imaging frequently showed bladder wall thickening without definite mass lesions. Cystoscopic findings were heterogeneous, ranging from diffuse inflammatory changes to tumor-like lesions. Fourteen patients were diagnosed at initial biopsy, while others were diagnosed after repeated biopsies. Twelve patients underwent radical cystectomy. During a median follow-up of 48 months, recurrence and metastasis rates were low. Oncologic outcomes should be interpreted cautiously because follow-up was incomplete and heterogeneous. CONCLUSION: A subset of patients initially diagnosed with IC/BPS may harbor or develop bladder tumors. Close surveillance and repeated cystoscopic multi-site biopsies are recommended, particularly in high-risk patients such as males and those with hematuria, to improve early detection and outcomes."
41483127,Genetic diversity of infertile males in India.,"PURPOSE: To systematically investigate the genetic architecture of severe male infertility in Indian men, with a specific focus on chromosomal abnormalities and the contribution of de novo variants. METHOD: We recruited 247 infertile males between 2021 and 2024 presenting with severe quantitative and qualitative sperm defects. All patients underwent karyotyping and Y chromosome microdeletion STS-PCR. A single molecule molecular inversion probe-based targeted sequencing assay covering 39 male infertility genes was performed in 120 patients, while whole exome sequencing (WES) was conducted in 48 patients using a duo/trio-based approach to enable segregation and de novo variant detection. RESULT: Gonosomal aneuploidies were observed in 3/247 patients (1.2%, 95% CI 0.3-3.5%) and causal AZF microdeletions in 8/247 (3.2%, 95% CI 1.4-6.3%). Targeted sequencing identified pathogenic/likely pathogenic (P/LP) variants in 4/120 patients (3.3%, 95% CI 0.9-8.3%), with additional CFTR variants in 3 patients where parental DNA was unavailable for phasing. WES yielded P/LP variants in 4/48 patients (8.3%, 95% CI 2.3-19.9%) affecting PMFBP1, DNAH1, and AR genes, confirmed via segregation analysis. No de novo or copy number variants were confirmed as causative, though several candidate genes were prioritised. Sequencing-based approaches provided an additional ~ 6-8% diagnostic yield, with the overall diagnostic rate reaching 7.7% (19/247; 95% CI 4.7-11.8%). CONCLUSION: Sequencing-based strategies, particularly family-based trio WES, significantly enhance diagnostic yield beyond current guideline-recommended tests, with data supporting their adoption as first-tier investigations for severe male infertility. This represents India's largest cohort-based genomic study on male infertility to date. Larger family-based cohorts will be essential to delineate the contribution of de novo variants to male infertility genetics."
